FSU_Slno,hh_no,mpce,hh_size,social_group,religion,Stratum,visitNo,educ_head,age_head,gender_head,total_land,land_used_agri,num_land_parcels,received_tech_advice,MLT,final_weight,mpce_per_capita,log_mpce,land_size_cat,educ_level,social_group_f,tech_advice_f,gender_f,land_size_f
78786,01,14100,5,3,2,46,2,3,30,1,52.86,52.57,15,1,4262500,42625,2820,7.944492163932159,Medium/Large (>4 acres),Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78786,02,14967,5,9,1,46,2,12,39,1,24.98,24.84,16,1,4262500,42625,2993.4,8.004165144095047,Medium/Large (>4 acres),Graduate+,Others,Yes,Male,Medium/Large (>4 acres)
78784,01,5675,4,1,1,21,2,5,30,1,22.74,22.44,14,1,1959750,19597.5,1418.75,7.257531481229713,Medium/Large (>4 acres),Secondary,ST,Yes,Male,Medium/Large (>4 acres)
78784,02,4800,4,1,1,21,2,6,32,1,11.08,10.92,8,1,1959750,19597.5,1200,7.090076835776092,Medium/Large (>4 acres),Higher Secondary,ST,Yes,Male,Medium/Large (>4 acres)
78780,01,3900,5,1,1,21,2,1,28,1,17.98,17.88,12,0,130200,1302,780,6.659293919683638,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78780,02,1400,1,1,1,21,2,1,55,2,27.42,24.8,12,1,130200,1302,1400,7.24422751560335,Medium/Large (>4 acres),Illiterate,ST,Yes,Female,Medium/Large (>4 acres)
78762,01,4700,4,1,1,21,2,1,25,1,12.78,12.73,10,1,49400,494,1175,7.069023426578259,Medium/Large (>4 acres),Illiterate,ST,Yes,Male,Medium/Large (>4 acres)
78762,02,4700,6,1,1,21,2,1,40,1,7.02,6.9399999999999995,8,0,49400,494,783.3333333333334,6.663558318470095,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78762,03,6200,6,1,1,21,2,2,40,1,3.04,3.02,3,0,21280,212.8,1033.3333333333333,6.940545101805128,Small (1-4 acres),Below Primary,ST,No,Male,Small (1-4 acres)
78762,04,6600,7,1,1,21,2,1,52,1,3.04,3.02,3,0,21280,212.8,942.8571428571429,6.8489147789592035,Small (1-4 acres),Illiterate,ST,No,Male,Small (1-4 acres)
78762,05,6100,7,1,1,21,2,1,62,1,2.84,2.82,3,0,21280,212.8,871.4285714285714,6.77013390110609,Small (1-4 acres),Illiterate,ST,No,Male,Small (1-4 acres)
78767,01,3400,2,2,1,21,2,3,36,1,8.58,8.08,10,1,1825250,18252.5,1700,7.438383530044307,Medium/Large (>4 acres),Primary,SC,Yes,Male,Medium/Large (>4 acres)
78767,02,5700,5,2,1,21,2,4,38,1,20.86,20.240000000000002,13,1,1825250,18252.5,1140,7.038783541388542,Medium/Large (>4 acres),Middle,SC,Yes,Male,Medium/Large (>4 acres)
78763,01,8600,8,3,1,21,2,4,45,1,12.600000000000001,12.440000000000001,10,1,618800,6188,1075,6.980075940561763,Medium/Large (>4 acres),Middle,OBC,Yes,Male,Medium/Large (>4 acres)
78763,02,8400,7,2,1,21,2,1,51,1,6.3,6.21,5,1,17850,178.5,1200,7.090076835776092,Medium/Large (>4 acres),Illiterate,SC,Yes,Male,Medium/Large (>4 acres)
78763,03,8600,6,3,1,21,2,3,42,1,0.04,0,2,0,17850,178.5,1433.3333333333333,7.267758013013544,Marginal (0-1 acre),Primary,OBC,No,Male,Marginal (0-1 acre)
78763,04,3200,2,2,1,21,2,1,60,1,0.04,0,2,0,17850,178.5,1600,7.3777589082278725,Marginal (0-1 acre),Illiterate,SC,No,Male,Marginal (0-1 acre)
78761,01,3900,3,3,1,22,2,1,22,1,25.88,25.77,11,1,25875,258.75,1300,7.170119543449628,Medium/Large (>4 acres),Illiterate,OBC,Yes,Male,Medium/Large (>4 acres)
78761,02,6200,5,3,1,22,2,1,31,1,23.64,23.53,11,1,25875,258.75,1240,7.122866658599083,Medium/Large (>4 acres),Illiterate,OBC,Yes,Male,Medium/Large (>4 acres)
78761,03,7000,3,3,1,22,2,3,40,1,2.52,2.5,3,0,11500,115,2333.3333333333335,7.755053139369341,Small (1-4 acres),Primary,OBC,No,Male,Small (1-4 acres)
78765,01,4200,3,3,2,22,2,1,30,2,19.259999999999998,18.39,8,1,2300,23,1400,7.24422751560335,Medium/Large (>4 acres),Illiterate,OBC,Yes,Female,Medium/Large (>4 acres)
78765,02,11467,5,3,2,22,2,2,36,1,30.86,30.63,6,0,2300,23,2293.4,7.737790711604204,Medium/Large (>4 acres),Below Primary,OBC,No,Male,Medium/Large (>4 acres)
78765,03,8400,6,3,2,22,2,2,37,1,40.980000000000004,40.5,6,1,2300,23,1400,7.24422751560335,Medium/Large (>4 acres),Below Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78769,01,4900,6,1,1,22,2,1,47,1,9.1,8.55,11,0,998000,9980,816.6666666666666,6.705231014870663,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
78769,02,1000,1,1,1,22,2,3,59,1,9.1,8.45,12,0,998000,9980,1000,6.907755278982137,Medium/Large (>4 acres),Primary,ST,No,Male,Medium/Large (>4 acres)
78769,03,5500,7,1,1,22,2,5,39,1,5.3,5.15,3,0,99800,998,785.7142857142857,6.666593222165249,Medium/Large (>4 acres),Secondary,ST,No,Male,Medium/Large (>4 acres)
78769,04,5000,5,1,1,22,2,1,46,1,0,0,0,0,NA,1,1000,6.907755278982137,Landless,Illiterate,ST,No,Male,Landless
78768,01,1100,1,3,1,23,2,1,73,2,29.119999999999997,29.099999999999998,11,1,149650,1496.5,1100,7.003065458786462,Medium/Large (>4 acres),Illiterate,OBC,Yes,Female,Medium/Large (>4 acres)
78768,02,4350,4,3,1,23,2,3,29,1,34.32,34.26,11,0,149650,1496.5,1087.5,6.991636762962839,Medium/Large (>4 acres),Primary,OBC,No,Male,Medium/Large (>4 acres)
78768,03,2642,2,3,1,23,2,1,75,1,4.02,4.01,3,0,43800,438,1321,7.186144304522325,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78768,04,4625,5,3,1,23,2,1,35,1,4.04,4.04,3,0,43800,438,925,6.829793737512425,Medium/Large (>4 acres),Illiterate,OBC,No,Male,Medium/Large (>4 acres)
78766,01,4567,6,3,1,23,2,6,46,1,22.22,22.14,11,0,1384000,13840,761.1666666666666,6.634852343956944,Medium/Large (>4 acres),Higher Secondary,OBC,No,Male,Medium/Large (>4 acres)
78766,02,7533,6,1,1,23,2,1,40,1,31.38,31.349999999999998,11,1,1384000,13840,1255.5,7.13528917859764,Medium/Large (>4 acres),Illiterate,ST,Yes,Male,Medium/Large (>4 acres)
78766,03,9000,2,3,1,23,2,3,68,1,12.04,12.02,3,0,410875,4108.75,4500,8.411832675758411,Medium/Large (>4 acres),Primary,OBC,No,Male,Medium/Large (>4 acres)
78766,04,8667,6,3,1,23,2,3,50,1,4.44,4.42,3,0,410875,4108.75,1444.5,7.2755185199062895,Medium/Large (>4 acres),Primary,OBC,No,Male,Medium/Large (>4 acres)
78764,01,5450,5,3,1,23,2,2,50,1,25.06,25.01,9,1,1177050,11770.5,1090,6.993932975223189,Medium/Large (>4 acres),Below Primary,OBC,Yes,Male,Medium/Large (>4 acres)
78764,02,5317,5,1,1,23,2,4,43,1,22.14,22.08,10,1,1177050,11770.5,1063.4,6.969226601070238,Medium/Large (>4 acres),Middle,ST,Yes,Male,Medium/Large (>4 acres)
78764,03,2533,2,1,1,23,2,3,52,1,2.02,2.01,3,0,159600,1596,1266.5,7.14401246944173,Small (1-4 acres),Primary,ST,No,Male,Small (1-4 acres)
78764,04,7458,7,3,1,23,2,2,70,1,3.02,3.01,3,1,159600,1596,1065.4285714285713,6.9711324116834525,Small (1-4 acres),Below Primary,OBC,Yes,Male,Small (1-4 acres)
78760,01,7690,3,3,1,23,2,4,51,1,39.199999999999996,39.08,11,1,884000,8840,2563.3333333333335,7.84906377383158,Medium/Large (>4 acres),Middle,OBC,Yes,Male,Medium/Large (>4 acres)
78760,02,8783,5,3,1,23,2,6,34,1,32.18,32.07,11,1,884000,8840,1756.6,7.471135401483017,Medium/Large (>4 acres),Higher Secondary,OBC,Yes,Male,Medium/Large (>4 acres)
78760,03,6167,5,1,1,23,2,3,39,1,6.54,6.52,3,1,507000,5070,1233.4,7.117529862557393,Medium/Large (>4 acres),Primary,ST,Yes,Male,Medium/Large (>4 acres)
78760,04,6517,4,1,1,23,2,4,26,1,6.04,6.02,3,1,507000,5070,1629.25,7.39587506521249,Medium/Large (>4 acres),Middle,ST,Yes,Male,Medium/Large (>4 acres)
